"ID_sim","SNR","Method","Retention","Nonzero","Prediction"
"1 63","0.05","Lasso","1","1","516.458025864078"
"1 63","0.05","Relaxed Lasso","1","1","516.036250201201"
"1 63","0.05","RF","1","3","472.027609527533"
"1 64","0.05","Lasso","1","4","519.197489292714"
"1 64","0.05","Relaxed Lasso","0","0","531.073767779962"
"1 64","0.05","RF","1","6","443.874041301533"
"1 65","0.05","Lasso","0","0","611.969156549872"
"1 65","0.05","Relaxed Lasso","0","0","605.403921601773"
"1 65","0.05","RF","0","5","520.294779345896"
"1 66","0.05","Lasso","0","0","467.160443262783"
"1 66","0.05","Relaxed Lasso","3","18","468.341529778685"
"1 66","0.05","RF","0","4","396.438582764628"
"1 67","0.05","Lasso","2","11","561.550685744163"
"1 67","0.05","Relaxed Lasso","2","9","557.378328129138"
"1 67","0.05","RF","1","4","480.14537130007"
"1 68","0.05","Lasso","0","0","500.269649956177"
"1 68","0.05","Relaxed Lasso","0","0","501.486511364565"
"1 68","0.05","RF","1","7","485.836278621187"
"1 69","0.05","Lasso","2","12","626.937982048102"
"1 69","0.05","Relaxed Lasso","1","2","608.683278744409"
"1 69","0.05","RF","2","9","468.424047809402"
"1 70","0.05","Lasso","0","0","559.06913837395"
"1 70","0.05","Relaxed Lasso","0","0","556.544958866474"
"1 70","0.05","RF","0","3","502.869493005087"
"1 71","0.05","Lasso","1","2","673.123356281949"
"1 71","0.05","Relaxed Lasso","1","2","680.127598218368"
"1 71","0.05","RF","1","5","568.657972849252"
"1 72","0.05","Lasso","1","5","580.867067854862"
"1 72","0.05","Relaxed Lasso","1","4","569.996278842857"
"1 72","0.05","RF","2","7","488.973728517202"
"1 73","0.05","Lasso","0","1","602.123933272185"
"1 73","0.05","Relaxed Lasso","0","0","603.176815875623"
"1 73","0.05","RF","0","4","563.108552986566"
"1 74","0.05","Lasso","0","0","585.060159301289"
"1 74","0.05","Relaxed Lasso","3","19","585.752412473153"
"1 74","0.05","RF","0","3","471.126071989663"
"1 75","0.05","Lasso","0","0","615.844212255985"
"1 75","0.05","Relaxed Lasso","0","1","611.892775128129"
"1 75","0.05","RF","1","2","615.19101116881"
